Disambiguation;Pcorrect;rBias;absBias;RT;Frequency;PhaseDur;Unclear;LowConf;HighConf;block_id;session_id;subject_id
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;33
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;33
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;33
1;80;33,75;16,25;0,463398692810458;11,25;14,5301298041807;0;0;100;1;1;34
1;95;51,25;1,25;0,389273356401384;21,25;7,79232324105033;0;0;100;2;1;34
1;97,5;78,75;28,75;0,537818023164968;16,25;10,3206016890834;0;0;100;3;1;34
1;86,25;67,5;17,5;0,54453781512605;17,5;9,46210679270397;0;0;100;4;1;34
1;95;55;5;0,850590595543222;15;8,85556148547935;0;12,5;87,5;5;1;34
0;NaN;31,25;18,75;1,01890756302521;17,5;8,61282460692487;0;57,5;42,5;1;2;34
0;NaN;50;0;0,982097186700767;21,25;5,83330313243044;0;80;20;2;2;34
0;NaN;52,5;2,5;0,685284459824336;20;8,27922928764257;0;11,25;88,75;3;2;34
0;NaN;61,25;11,25;0,937647058823529;17,5;8,94439813639334;0;42,5;57,5;4;2;34
0;NaN;31,25;18,75;0,928052261985022;17,5;8,38537325286876;0;17,5;82,5;5;2;34
0,5;91,25;46,25;3,75;0,762032085561497;13,75;11,1168532122131;0;0;100;1;3;34
0;53,75;36,25;13,75;1,03455882352941;10;16,1348772316148;0;83,75;16,25;2;3;34
0,25;63,75;47,5;2,5;0,579411764705882;7,5;16,5594792640258;0;0;100;3;3;34
1;96,25;40;10;0,483823529411765;20;8,27973963201288;0;0;100;4;3;34
0,1;42,5;47,5;2,5;1,06797385620915;11,25;14,1534010803639;0;72,5;27,5;5;3;34
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;34
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;34
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;34
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;34
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;34
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;34
